,aeval1.bmp,bryanl1.bmp,chingycl1.bmp,chongpkl1.bmp,christinel2.bmp,chualsl4.bmp,eugenehol4.bmp,fatmal5.bmp,fional5.bmp,hockl5.bmp,kelvinl5.bmp,lecl5.bmp,liujwl5.bmp,lokel4.bmp,lowyfl4.bmp,lpjl4.bmp,mahskl5.bmp,maranl5.bmp,masl3.bmp,mazwanl4.bmp,mimil4.bmp,minglil5.bmp,ngkokwhyl5.bmp,nkll3.bmp,norazal5.bmp,norsuhaidahl2.bmp,ongbll5.bmp,pcll2.bmp,philipl5.bmp,roslil1.bmp,salal4.bmp,sarinal5.bmp,sitil3.bmp,suzailil5.bmp,tanwnl5.bmp,thomasl1.bmp,tickl5.bmp,tingcyl4.bmp,tonghll4.bmp,vimalal5.bmp,weecml4.bmp,winl3.bmp,yannl4.bmp,zaridahl5.bmp,zulaikahl3.bmp
aeval2.bmp,474,529,549,544,524,538,560,563,519,621,513,565,542,523,601,535,530,558,543,505,529,546,553,549,570,524,539,526,553,566,610,603,532,549,557,579,496,549,572,534,578,551,551,579,530
bryanl3.bmp,491,501,552,572,543,584,544,541,558,559,547,601,578,513,584,512,508,572,582,591,572,571,523,580,551,516,537,536,533,583,583,622,566,511,571,592,553,542,489,504,515,588,563,550,579
chingycl3.bmp,564,555,488,577,507,529,529,519,517,577,507,576,561,513,509,506,551,554,570,580,539,580,531,586,533,533,527,504,560,569,572,608,524,581,537,536,550,510,543,540,575,603,548,589,552
chongpkl3.bmp,571,528,546,429,588,547,527,571,547,590,550,537,590,471,573,565,605,564,568,536,535,571,527,546,570,591,541,554,550,509,612,591,556,532,525,550,546,582,529,472,530,546,549,507,541
christinel4.bmp,493,566,567,586,500,582,564,494,550,578,526,568,609,544,567,506,531,534,526,501,540,515,522,474,521,565,519,547,562,519,595,483,513,543,589,572,573,580,562,507,526,635,498,481,521
chualsl2.bmp,547,546,544,543,564,495,623,580,562,574,532,611,586,567,524,572,597,569,548,563,547,558,564,562,518,566,563,576,584,562,567,594,568,587,577,597,573,592,573,597,567,570,573,555,494
eugenehol2.bmp,571,583,541,522,587,588,577,544,515,597,585,618,525,573,604,532,551,572,533,553,582,629,546,542,591,583,519,543,580,481,595,605,529,600,577,564,532,585,547,586,616,547,514,551,514
fatmal2.bmp,541,537,548,571,548,508,543,441,512,562,527,570,588,546,541,565,535,564,535,528,550,523,541,482,507,559,533,527,586,538,581,568,543,520,556,514,563,586,514,534,521,622,499,500,530
fional2.bmp,537,539,528,592,541,553,521,543,513,558,522,568,550,565,538,560,558,536,548,583,534,599,494,518,528,555,531,535,576,508,555,559,551,559,515,583,588,562,556,533,583,562,527,550,488
hockl2.bmp,541,558,549,573,570,584,550,515,532,529,531,597,558,544,562,502,555,535,572,576,558,569,565,496,541,534,520,560,575,533,600,589,525,562,514,542,551,614,538,548,572,601,521,508,554
